Tamanho: 20 | media do tempo: [0.007288026809692383]
Tamanho: 21 | media do tempo: [0.012596201896667481]
Tamanho: 22 | media do tempo: [0.013649654388427735]
Tamanho: 23 | media do tempo: [0.02083735466003418]
Tamanho: 24 | media do tempo: [0.03303585052490234]
Tamanho: 25 | media do tempo: [0.06228618621826172]
Tamanho: 26 | media do tempo: [0.07563569545745849]
Tamanho: 27 | media do tempo: [0.1381325125694275]
Tamanho: 28 | media do tempo: [0.2369932770729065]
Tamanho: 29 | media do tempo: [0.20721644163131714]
Tamanho: 30 | media do tempo: [0.4149786353111267]
Tamanho: 31 | media do tempo: [1.2837350130081178]
Tamanho: 32 | media do tempo: [2.3546805024147033]
Tamanho: 33 | media do tempo: [3.3016822814941404]
Tamanho: 34 | media do tempo: [9.537218809127808]
Tamanho: 35 | media do tempo: [5.148209118843079]
Tamanho: 36 | media do tempo: [16.890026450157166]
Tamanho: 37 | media do tempo: [36.87474104166031]
Tamanho: 38 | media do tempo: [66.82722841501236]
Tamanho: 39 | media do tempo: [40.28222290277481]
Tamanho: 40 | media do tempo: [77.71902269124985]
Tamanho: 41 | media do tempo: [151.08468426465987]
Tamanho: 42 | media do tempo: [165.90900633335113]
Tamanho: 43 | media do tempo: [238.80346176624298]
Tamanho: 44 | media do tempo: [514.4977855563163]
