Tamanho: 20 | media do tempo: [0.010102128982543946]
Tamanho: 21 | media do tempo: [0.009319901466369629]
Tamanho: 22 | media do tempo: [0.015275835990905762]
Tamanho: 23 | media do tempo: [0.0232102632522583]
Tamanho: 24 | media do tempo: [0.035638630390167236]
Tamanho: 25 | media do tempo: [0.06764675378799438]
Tamanho: 26 | media do tempo: [0.15169227123260498]
Tamanho: 27 | media do tempo: [0.17850301265716553]
Tamanho: 28 | media do tempo: [0.23274818658828736]
Tamanho: 29 | media do tempo: [0.26412426233291625]
Tamanho: 30 | media do tempo: [0.5094297766685486]
Tamanho: 31 | media do tempo: [1.0623647093772888]
Tamanho: 32 | media do tempo: [1.5090883135795594]
Tamanho: 33 | media do tempo: [2.0229761719703676]
Tamanho: 34 | media do tempo: [3.965387833118439]
Tamanho: 35 | media do tempo: [8.563211500644684]
Tamanho: 36 | media do tempo: [9.09715040922165]
Tamanho: 37 | media do tempo: [12.789250111579895]
Tamanho: 38 | media do tempo: [32.445415794849396]
